direccion	tamano	nombre_ghidra	decompila_limpio	estado	nota
80019348	264	FUN_80019348	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80019348.c:21: request for member `unk10' in something not a structure or union
80056970	264	FUN_80056970	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80056970.*
80015790	268	FUN_80015790	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80015790.c:3: parse error before `?'
80016d60	272	FUN_80016d60	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80016d60.c:33: request for member `unk0' in something not a structure or union
80018e24	272	FUN_80018e24	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80018e24.c:15: `saved_reg_gp' undeclared (first use this function)
800138ac	280	FUN_800138ac	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800138ac.c:2: parse error before `?'
8004e70c	280	FUN_8004e70c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004e70c.c:3: parse error before `?'
8004e964	280	FUN_8004e964	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004e964.c:3: parse error before `?'
8004f534	280	FUN_8004f534	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004f534.c:2: parse error before `?'
8002ee64	284	FUN_8002ee64	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002ee64.c:3: parse error before `?'
80045ba8	284	FUN_80045ba8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045ba8.c:2: parse error before `?'
8004b780	284	FUN_8004b780	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004b780.c:2: parse error before `?'
8004ee30	284	FUN_8004ee30	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004ee30.c:4: parse error before `?'
8002dfb0	288	FUN_8002dfb0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002dfb0.c:2: parse error before `?'
